bio_url,bio,name,voice_model,skyrim_voice_folder,race,gender,species,refid_int,baseid_int,author,voice_model_score,form_id,form_id_back,ref_id,voice_type,voicetypefallout,editor_id,editorIDFallout
/wiki/Peepers,"Peepers is a named Eyebot found in the Commonwealth in 2287.
Peepers can be found flying around the Atom Cats garage.
It is possible for Peepers to be destroyed during the Gunner attack. If the Sole Survivor has a rank of the Robotics Expert perk, they can save Peepers by shutting it down or telling it to stay somewhere safe until the attack is over.",Peepers,RobotCompanionFemaleDefault,dlc01robotcompanionmaledefault,Eyebot,,,766458,766457,YetAnotherModder,77,000BB1F9,000BB1F9,000BB1FA,,,DN054Eyebot,
/wiki/Rowdy,"Rowdy is a power armor merchant and member of the Atom Cats in 2287.
Rowdy used to be a raider in the Commonwealth, but she was left for dead by her fellow comrades during a raid. She was then found by the Atom Cats, who took her in as another member of the gang.
At some point, with the other gang members' help, she started to record a holotape called ""An Ode to My Hammer,"" but stopped soon after, saying, ""I can't go through with this.""
Rowdy is a power armor specialist merchant. She sells the Atom Cats custom paint job schematic and stocks fusion cores, a power armor frame, and a full set of Atom Cats painted T-60. She can also have parts of all sorts of power armor types, ranging from raider to X-01, but availability is limited by the Sole Survivor's level.",Rowdy,TinaDeLuca,NPCFRowdy,Human,Female,,1140828,121686,YetAnotherModder,100,0001DB56,0001DB56,0011685C,NPCFRowdy,NPCFRowdy,DN054Rowdy,DN054Rowdy
/wiki/Roxy,"Roxy is the newest member of the Atom Cats.[1] She will offer a tour of the area to the Sole Survivor, as well as an introduction to some of the other Atom Cats.[2] Although Roxy does not have a suit of power armor to call her own, she has been taking lessons from Rowdy.[3] She has a crush on Zeke, calling him ""just the dreamiest.""[4]",Roxy,FemaleEvenToned,FemaleEvenToned,Human,Female,,2393972,1139959,YetAnotherModder,100,001164F7,001164F7,248774,FemaleEvenToned,FemaleEvenToned,DN054AtomCat_Roxy,DN054AtomCat_Roxy
/wiki/Zeke_(Fallout_4),"Zeke is the founder of the Atom Cats living in the Commonwealth in 2287.
The founder of the Atom Cats, Zeke explains the club has the most weapon and armor modifications around. Zeke grew up in Diamond City until he left the settlement in dissatisfaction, referring to it as ""a tilted square."" He also claims to have fixed up a vertibird until it crashed into the ocean.[1] He eventually found the Atom Cats garage after slaying a large pack of feral ghouls residing there. Afterward, Zeke began recruiting the current members of the Atom Cats, most of whom came from troubled backgrounds, that he helped with reforming by ""[showing] them the way of cool.""[2]
Zeke can offer to modify armor for the Sole Survivor, including power armor.
Zeke appears in Fallout and Fallout Shelter Online.",Zeke,MaleRaider01,NPCMZeke,Human,Male,,1140827,296482,YetAnotherModder,35,48622,48622,0011685B,NPCMZeke,NPCMZeke,DN054Zeke,DN054Zeke
/wiki/Dutchman,"Dutchman is a dead Railroad agent located in the Commonwealth in 2287.
Dutchman was a member of the Railroad who helped A9-51 escape the Institute. Upon being surrounded by pursuers, he attempted to run out of cover to give A9-51 enough time to escape. A recording found in the upper room of the Bedford Station recounts his last moments.",Dutchman,Danse,NPCMDutchman,Human,Male,,584771,253814,YetAnotherModder,43,0003DF76,0003DF76,0008EC43,NPCMDutchman,NPCMDutchman,DN007_Dutchman,DN007_Dutchman
/wiki/Helena_(Fallout_4),"Helena is a deceased woman whose body may be found at Bedford Station in 2287. 
Helena was to meet Dutchman and A9-51 at Bedford Station at midnight, the night the two were ambushed. Her failure to arrive at the rendezvous point was the first indication to Dutchman that something was wrong.[1][2][3]
An unused voice type for Helena exists in the game's files, ""NPCFHelena,"" though the NPC actually uses the ""FemaleEvenToned"" voice type.",Helena,FemaleEvenToned,FemaleEvenToned,Human,Female,,885960,253813,YetAnotherModder,100,0003DF75,0003DF75,000D84C8,FemaleEvenToned,FemaleEvenToned,DN007_Helena,DN007_Helena
/wiki/Gavil,"Knight Sergeant Gavil is a Brotherhood soldier at the Boston Airport. He is the head of the Brotherhood's logistics division in 2287.
Gavil is in charge of the Brotherhood's logistics division, headquartered at the Boston Airport. He keeps track of supplies and food rations coming in and out of the supply depot. Recently, suspicious activity has been taking place at the airport.
Food rations were disappearing by night. Gavil suspects that one of the soldiers assigned at his division is responsible for the thefts.[1]",Knight Sergeant Gavil,KnightGavil,NPCMBosKnightGavil,Human,Male,,770277,730863,YetAnotherModder,85,000B26EF,000B26EF,000BC0E5,NPCMBosKnightGavil,NPCMBosKnightGavil,BoSKnightGavil,BoSKnightGavil
/wiki/Lucia,"Knight Lucia is a Brotherhood soldier at the Boston Airport. She is part of the Brotherhood's logistics division in 2287.
Lucia works in the supply depot at the Boston Airport under Knight Sergeant Gavil. She expresses pride after her first combat experience followed the Prydwen's arrival, though she worries how the event has affected her friend D. Clarke.[1]
During the quest Duty or Dishonor, Lucia shows concern for her friend's condition and the suspicion that D. Clarke is involved in the theft.[2] Depending on the outcome Lucia supports the decision.[3] If the Sole Survivor sides with the Brotherhood of Steel during the mission Ad Victoriam, Lucia will escort Liberty Prime to The Institute.
Lucia, along with Gavil, is one of the very few named Brotherhood of Steel members to survive the destruction of the Prydwen during Airship Down, Rockets' Red Glare or With Our Powers Combined. She can be found at her usual workplace at the supply depot and will be hostile to the Sole Survivor.",Knight Lucia,KnightLucia,NPCFBoSKnightLucia,Human,Female,,770279,730864,YetAnotherModder,85,000B26F0,000B26F0,000BC0E7,,NPCFBoSKnightLucia,BoSKnightLucia,BoSKnightLucia
/wiki/Rylan,"Knight Rylan is a deceased member of the Brotherhood of Steel. His corpse can be found in the Boston Airport ruins during the quest Duty or Dishonor.
Knight Rylan worked for the supply depot in the Boston Airport alongside Initiate Clarke.[1] Having apparently followed Clarke a few days prior, he was killed by the feral ghouls wandering the ruins.[1] His body is later found by the Sole Survivor shortly after entering the feral-infested tunnels beneath the airport in a collapsed tunnel just off the right of the main passage. His dog tags can then be collected and later presented to Clarke when confronted, demonstrating to the Initiate that the ferals are more dangerous than he realized.[1]",Knight Rylan,MaleBoS01,BoSMale01,Human,Male,,801068,801067,YetAnotherModder,67,000C392B,000C392B,000C392C,,BoSMale01,BoSKnightRylan,BoSKnightRylan
/wiki/D._Clarke,"Initiate D. Clarke, ID number CL-312I,[1] is a soldier in the Brotherhood of Steel at Boston Airport in Fallout. He is part of the Brotherhood logistics division led by Knight Sergeant Gavil in 2287.
Initiate Clarke joined the Brotherhood of Steel roughly the same time as Knight Lucia. The two were part of the Brotherhood for at least two years before 2287 and were friends. However, shortly after the battle to take over the Boston Airport, Clarke started to become more reclusive and distant and started to adopt strange habits, such as searching through Lucia's personal belongings. He was then assigned to logistics and kept count of supplies alongside Lucia. At the same time, supplies, specifically food, were being reported as missing without reason.[2]
It is later revealed that Clarke himself is taking the food crates and feeding them to the feral ghouls infesting the underground section of the Boston Airport in an attempt to not only prevent the ferals from attempting to attack the nearby base, but also to show compassion towards the creatures.[3]
He does this in response to what happened to take control of the airport, as he viewed the killing of these former human beings, even when they were running away, as slaughter.[4] The Sole Survivor, investigating the missing supplies, discovers this and is allowed to decide Clarke's fate. Either they can tell Clarke to run from the Brotherhood to evade punishment, pass a moderate Charisma check and tell Clarke to accept blame for the missing supplies, agree to keep his secret, allowing him to stay in the Brotherhood or kill him outright.
He can later be found incarcerated at Cambridge Police Station if successfully convinced to turn himself in. If he was told to flee he can be encountered randomly in the wasteland being chased by feral ghouls. If saved he will berate the Sole Survivor for killing them.
If he was convinced to turn himself in, but the player character sides with the Railroad, he can be released during the mission Precipice of War. Although he cannot be engaged in full conversation, he will express surprise that the Sole Survivor is a Railroad agent, and ask to be set free, even if he does not understand what is going on. If the player agrees to do nothing about the ghouls and lies to Captain Kells, Clarke will remain in his position in logistics.",Initiate Clarke,InitiateClarke,NPCMBoSInitiateClarke,Human,Male,,770278,730862,YetAnotherModder,88,000B26EE,000B26EE,000BC0E6,NPCMBoSInitiateClarke,NPCMBoSInitiateClarke,BoSInitiateClarke,BoSInitiateClarke
/wiki/Liberty_Prime,"Liberty Prime or Liberty Prime Mark II is a unique U.S. Army robot.[1]  Liberty Prime was found and brought to working order by the Brotherhood of Steel. Its total restoration was due to the assistance of Dr. Madison Li, who solved Prime's power issues in the year 2277. After its destruction at the satellite relay station in the same year it remained in disrepair until 2287, when it was brought to Boston for restoration and activation. It plays a major role in Fallout 3, Broken Steel, and Fallout.
Prime is the result of military contract 38917, for which the United States Army contracted RobCo Industries and General Atomics International to collaborate on an unprecedented joint project.[2] The goal being to create the most powerful combat robot in the history of warfare, to liberate Anchorage, Alaska from Chinese occupation.[2] Development commenced in 2072, and in the words of General Constantine Chase, initiator of the project, Liberty Prime ""will be the very embodiment of American military might -- a walking, talking, nuke-tossing hero who will remind the world what it means to be a super power.""[2][Non-game 1][2] Confident that the project would soon yield result, General Chase publicly confirmed in June 2072 that the U.S. Army was working with General Atomics and RobCo to create a superweapon meant to establish dominance of the United States on the Alaskan front.[3] Propaganda posters also purported the existence of a Chinese super robot, Warmachine, and called for the United States to build its own.[4]
However, while the chassis, voice module, and weapons systems were all completed by the projected date, the developers were unable to develop a power source compact enough to power all of its systems. Stanley Bloomfeld, project lead, was unable to ascertain a solution and Vault-Tec was unable to help, as the only person capable of solving this conundrum - Stanislaus Braun - went into seclusion shortly before the problems manifested. The robot could technically move and navigate terrain, but it would only do so with all weapons systems offline.[5] The delay was unacceptable and the U.S. military was forced to press on without the aid of Liberty Prime. The Alaskan campaign was won, at a heavy cost in men and materiel, while Liberty Prime remained in a bay below the Pentagon, waiting for a solution to its power management problems.[6]
In 2255, Owyn Lyons and his Brotherhood of Steel expedition arrived in Washington and found Liberty Prime beneath the ruins of the Pentagon. This impressive find led them to claim the Pentagon as the D.C. Bunker, their Citadel, and resuming development of the failed pre-War project.[7] However, the same problems would plague the program as before the war. Chief among these was energy consumption. The Brotherhood had no way of powering the behemoth robot, even with Reginald Rothchild heading the project.[8]
For 20 years, the Brotherhood struggled to launch its robot.[8] Every attempt to gain ground was compensated with failures. As of May 8, 2277, the research team had managed to restore 46% power to internal processors, 45% to weapons, and 37% to power management systems, and attempted to redistribute power to bring the robot online.[9] The attempt proved fruitless, with problems coming from the least expected direction: Liberty Prime himself. Rothchild's team tried to bypass the aggressive combat subroutines by trying to fool the robot with a neural dampener that power was being redistributed from a source other than its weapons. However, the onboard AI routines detected the attempt and again refused to allow the researchers to draw power away from its weapon systems. The attempt fried some of the robots circuitry and set the project back three months.[10]
Another attempt was made on July 13, 2277.[11] This time, a faulty power capacitor caused a power spike and degraded system performance, dropping internal processor, weapons, and power management power to 12%, 13% and, 1% respectively.[11] Tired of struggling with rerouting power, Rothchild ended power management experiments and resumed work on Accelerated Vector Fusion module to simply meet the power demands. Inspired by the work of Dr. Madison Li in Rivet City, Rothchild hoped for a breakthrough.[12] The attempt caused injury to several individuals. In its first major experiment on August 1, 2277, the AVF device resulted in second degree burns for Scribe Bowditch, while an accidental weapon discharge nearly killed Elder Lyons.[13] These events led to stricter control imposed on the experimentation team.[14]
Despite the accidents, Rothchild's team was able to restore much of the power and improve its distribution bringing power to internal processors to 87% and weapons to 60%, but problems with power management (operating at 3% efficiency) made deployment impossible. Mobility and navigation translation remained at 0%. Only the voice module worked at 100% at all times, mocking the researchers.[15]
When the Enclave seized Project Purity, Dr. Madison Li arrived at the Citadel. With her experience in fusion research and applications, Rothchild and his team were able to resolve the power management problems.[16][17]
Liberty Prime was brought online for the first time. Deployed against the Enclave in the battle of Project Purity, Liberty Prime made its way towards Project Purity over the Francis Scott Key Bridge. The massive robot acted as a spearhead, destroying Vertibirds and entrenched Enclave positions.[18]
Lyons's Pride and the Lone Wanderer followed the robot's path of destruction, engaging any Enclave personnel that survived the initial assault. Liberty Prime continued up to the purifier, destroying photonic resonance barriers set up around the island to deny land access. Upon arrival at the Memorial, Liberty Prime and Lyons Pride set up a security perimeter, while Sarah Lyons and the Lone Wanderer headed inside the facility.[18]
The victory at the purifier set the pattern for attacks using Liberty Prime. For two weeks, the Brotherhood mopped up Enclave forces throughout the Capital Wasteland, until the Battle of Rockland. The attack followed a standard pattern. Liberty Prime was deployed as spearhead, destroying the bulk of the enemy forces and bypassing their fortifications, while ground troops under Tristan's command followed the robot, mopping up any stragglers. The initial attack went well and the combat group penetrated enemy defenses right up into the facility. Liberty Prime proceeded to create an access point into the facility, by punching through the concrete walls.[19]
However, this was a ruse by the Enclave. Liberty Prime was lured into the cul-de-sac in front of the Rockland facility in order to be destroyed. Just as it opened the facility to the Brotherhood's assault, the Enclave initiated a tactical missile bombardment from the Bradley-Hercules orbital weapons platform, turning the area into a kill zone. Liberty Prime was destroyed, with Tristan's forces just barely able to reach minimum safe distance.[20][19] The destruction of Liberty Prime put the Brotherhood in a very difficult position, as it removed the only significant military advantage it had over the Enclave.[21]  Lyons had little in the way of men and resources at the beginning of the conflict with the Enclave, and after the loss of Prime all of these problems surfaced, exacerbated by the ongoing water delivery program. With the resources pooled into defense against the Enclave, the Brotherhood had to rely on the Lone Wanderer as their trump card.[22] Meanwhile, Rothchild immediately began work on rebuilding Prime, hoping to restore him to working condition. Eventually, the project was shelved due to a lack of success.
Proctor Ingram was ordered to resume the attempt to fix Prime in 2287. Despite the terrible state of salvage,[23] she labored for several years to reconstruct the robot.[24] When Elder Arthur Maxson realized that the Institute could be tracked down and confronted in the Commonwealth, Prime's components were loaded onto the Prydwen and brought along for the campaign. A special gantry was constructed in the ruins of the Boston Airport, to assemble the war machine under Proctor Ingram's orders - as long as the Brotherhood would be able to salvage the components that would allow for it to be deployed.[25]
There were several problems that had to be rectified. The fragile CPU blew itself out whenever the scribes tried feeding power to it, due to the complexity of the robot's power system.[26] The missile strike that destroyed Prime also wrecked the power system, necessitating the development of a new system, enlisting the aid of either Doctor Madison Li or Professor Scara.[26] They helped restore the total corruption of the memory core, caused by improper salvaging of Prime and flaws in its original design (lack of inertial dampeners and titanium shock casing to protect it).[27][28]
The next step in the reconstruction was rebuilding its limbs. Electromagnetic actuators were used for this purpose, constructed on site using high powered magnets.[25] The restored memory core posed a constant problem, as explaining to a combat robot why it can't move was a drain on the scribes' patience.[29] Following the successful assembly of the limbs, the penultimate component of the combat robot was a supply of modified Mark 28 nuclear bombs, necessary if it was ever to operate at more than half capacity.[30] The nukes salvaged from the Commonwealth at Sentinel site Prescott had to be adapted to remain stable in the unconventional launcher.[31]
The final step in bringing Liberty Prime back to life was reactivating its fusion reactor, which lay dormant ever since its destruction. Kept online by power leeched from the Prydwen, Prime's reactor required the experimental beryllium agitator to cold start the reactor.[32] The agitator - located at the Mass Fusion Building - would provide the power surge necessary to start the reaction.[33]
Liberty Prime has two primary weapons, including a head-mounted liberty laser[34] and a back-mounted supply of Mark 28 nuclear bombs.[35] Prime was able to destroy fortifications by walking through them.[36]
The robot had drawbacks in function, including lacking a sufficient fusion power source.[37] As the war with China dragged on, the project was eventually put on hold. The self-sustaining fusion reactor remained active, powering the robot, until finally Madison Li resolved the power distribution and management problems, allowing it to be deployed into combat.[16] In addition, the machine's slow speed and large size made it vulnerable to high-yield artillery and orbital missile strikes capable of overwhelming its armor.[36]",Liberty Prime,Robot Curie,RobotLibertyPrime,Robot,,,1137488,1259506,YetAnotherModder,57,001337F2,001337F2,00115B50,,RobotLibertyPrime,MQ11LibertyPrimeBoSLibertyPrime,BoSLibertyPrime
/wiki/Givens,"Along with Dalen, Shelby and a number of other people, Givens was part of a team whose goal was to retrieve and preserve any surviving books in Boston Public Library.[1] Though he and his team established a defense of Protectrons and turrets, they were overrun by super mutants and killed.[2] Givens left a series of logs on a terminal detailing his mission.",Curator Givens,MaleEvenToned,MaleEvenToned,Human,Male,,1047670,591967,YetAnotherModder,100,0009085F,0009085F,000FFC76,MaleEvenToned,MaleEvenToned,DN011CuratorGivens,DN011CuratorGivens
/wiki/Dalen,"Dalen is a dead man found in the Boston Public Library in 2287. 
Dalen, along with Givens, Shelby and a number of other people formed a team whose goal was to retrieve and preserve any existing books that could be found in the Boston Public Library.[1] Though he and his team established a defense of Protectrons and turrets, they were overrun by super mutants and killed.[2]",Dalen,MaleEvenToned,MaleEvenToned,Human,Male,,1054128,1054129,YetAnotherModder,100,001015B1,001015B1,001015B0,MaleEvenToned,MaleEvenToned,DN011Dalen,DN011Dalen
/wiki/Cricket,"Cricket is a traveling merchant operating in the Commonwealth in 2287.
Cricket is a roving weapons dealer, based out of Bunker Hill. She appears to be a rather heavy chem addict, suggested by her gaunt appearance and wavering tone of voice. The wares of her caravan include a well-chosen selection of melee weapons and firearms, including the legendary weapon Spray n' Pray. Her sales territory covers the southern portion of the Commonwealth, which includes Diamond City, Vault 81 and the Quincy area. 
She is also secretly an informant on runaway synths for the Synth Retention Bureau.[1]
Cricket's caravan moves through the southern part of the map according to an apparently random route that varies each trip. Each trip may stop at, or simply pass any or all of the following locations: 
These halts may be visited in any order and approached from a variety of directions. If trade caravan posts are built at player character-controlled settlements in the area, these may also be visited. At each of the halt locations, she will normally stop for 8 in-game hours. 
Hostile interactions are likely in many of these locations, and at random encounter points, if the player character is present. 
If she is encountered as she leaves Bunker Hill, she will first transit to Vault 81, where her normal circuit then begins. Her transit route is quite complex. She leaves Bunker Hill by the east door like the other caravan merchants. Unlike the others, however, she heads south to the river, west along the north bank of the river to Monsignor Plaza, north through Cambridge to the Collegiate administration building, west to College Square, south back to the river, crosses the river at the wreck of the USS Riptide, passes Diamond City without stopping until reaching Vault 81. An alternative transit route goes south via Cabot Square and around Boston Common to halt outside Diamond City. These transit routes provide ample opportunities for hostile encounters.
If the player character fast travels back from another cell to the location where Cricket is currently halted (including Bunker Hill as well as her circuit stops) or sleeps in or near one of these locations, her departure will be delayed until shortly after they arrive, or wake up.
As with the other Bunker Hill traveling merchants, her appearances there are entirely random, and she will not leave Bunker Hill if the player character waits, only if they sleep or leave the cell and re-enter it. As such, it is possible to follow her out from, but not to, Bunker Hill from another cell.
When at a farm location, she often remarks on how she wishes farmers would purchase more heavy weaponry from her rather than just pipe weaponry.[2]
PC Her brahmin, Spot, and her guards may be seen walking her route without her. It seems the bug persist as days later, she can be seen traveling alone.[verified]",Cricket,TinaDeLuca,NPCFCricket,Human,Female,,1244368,1244366,YetAnotherModder,100,0012FCCE,0012FCCE,0012FCD0,,NPCFCricket,Cricket,Cricket
/wiki/Deb,"Deb grew up with caravans, feeling at home in Bunker Hill,[1] and she uses her skills in machining and construction to produce wares for her shop, stating there is ""no such thing as junk.""[2] She disagrees with Kessler's practice of paying off raiders protection money,[1] especially as she takes a cut from the money.[3]
Depending on the actions taken by the Sole Survivor during Traffic Jam, Deb will praise their actions for clearing the National Guard training yard of feral ghouls prior to the quest being issued, referring them directly to Kessler.[4] Should more money be requested, Deb states she is tired of mercenaries declining the work.[5]
Deb is located in the trading shack at Bunker Hill, in the northeast corner. She is the general trader of the settlement. She sells shipments of fiberglass, crystal, gold, lead, and silver.
The player character can complete an unmarked side quest for Deb in order to access the workshop for Bunker Hill, along with the quests from Kessler and completing the Battle of Bunker Hill.",Deb,FemaleBoston,FemaleBoston,Human,Female,,104829,104824,YetAnotherModder,100,19978,19978,0001997D,FemaleBoston,FemaleBoston,Deb,Deb
/wiki/Weathers_(Fallout_4),"Doc Weathers is a traveling doctor and caravaneer operating out of Bunker Hill. His only intentions appear to be monetary gain and assisting the general community, but a further approach into his history reveals him to be an informant on runaway synths for the Institute, one of the most feared organizations in the Commonwealth.[1]
Weathers is accompanied by his loyal pack brahmin, Idiot, and employs two caravan guards for protection. His route passes through local settlements in the northeastern region of the Commonwealth, including County crossing and the Slog.
The Weathers caravan moves through the northeast part of the map according to an apparently random route that varies each trip. Each trip may stop at, or simply pass any or all of the northeastern settlements: County crossing, Finch farm, and the Slog. These settlements may be visited in any order and approached from a variety of directions. If trade caravan posts are built at player controlled settlements in the area, these may also be visited. A final possible halt is an unmarked campsite (with a cooking station and a full bed) to the west of the Museum of Witchcraft. At each of the four halt locations, he will stop for six game hours normally. 
In addition to these possible halts, the caravan may pass close to other locations (without stopping), including Saugus Ironworks, Hub City Auto Wreckers, Lynn Pier Parking, and Longneck Lukowski's Cannery. Hostile interactions are likely in many of these locations, and at random encounter points, if the player character is present. If he is encountered as he leaves Bunker Hill, he will first transit northeast to County crossing, where his normal circuit begins.
If the player character fast travels back from another cell to the location where Weathers is currently halted (including Bunker Hill as well as his circuit stops) or sleeps in or near one of these locations, his departure will be delayed until shortly after they arrive, or wake up. As with other Bunker Hill traveling merchants, his appearances at Bunker Hill itself are entirely random, and he will not leave Bunker Hill if the player character waits, only if they sleep or leave the cell and re-enter it. As such, it is possible to follow him out from, but not to, Bunker Hill from another cell. The same behavior is seen with trade caravan post locations.",Doc Weathers,Newscaster,NPCMDocWeathers,Human,Male,,1244364,1244363,YetAnotherModder,45,0012FCCB,0012FCCB,0012FCCC,NPCMDocWeathers,NPCMDocWeathers,DocWeathers,DocWeathers
