voice_file_name,voice_actor,voice_ID,voice_model
DLC01RobotCompanionFemaleProcessed,�,0100B855,robotcompanionfemaleprocessed
DLC01RobotCompanionMaleDefault,Taliesin Jaffe,010024DF,robotcompanionmaledefault
DLC01RobotCompanionMaleProcessed,�,0100B854,robotcompanionmaleprocessed
DLC03FemaleKasumiNakano,Mimi Torres,03003EC8,kasuminakano
DLC03FemaleMariner,Haviland Stillwell,03005C88,femalemariner
DLC03MaleDiMA,Stephen Russell,030052B2,dima
DLC03MaleMaineAccent,,03005CA5,malemaineaccent
DLC03MaleOldLongfellow,Jim Ward,03008D9E,longfellow
DLC06FemaleOverseer,Karen Strassman,0600482B,femaleoverseerdlc6
DLC06MaleClem,,060049D8,clem
DLC04_Announcer_RaiderRadio_NPCM,Andrew W.K.,0400A5B4,redeye
DLC04GangDiscipleFemale01,,04007CF6,gangdisciplefemale01
DLC04GangDiscipleFemale02,Krizia Bajos,04007CF5,gangdisciplefemale02
DLC04GangDiscipleMale01,,04007CEE,gangdisciplemale01
DLC04GangOperatorFemale01,,04007CF7,gangoperatorfemale01
DLC04GangOperatorMale01,,04007CF8,gangoperatormale01
DLC04GangOperatorMale02,Orion Acaba,04007CF9,gangoperatormale02
DLC04GangPackFemale01,,04007CFA,gangpackfemale01
DLC04GangPackMale01,,04007CFB,gangpackmale01
DLC04GangPackMale02,,04007CFC,gangpackmale02
DLC04NPCFDaraHubbell,,0400CC93,darahubbell
DLC04NPCFShelbieChase,Corri English,0401CB67,shelbiechase
DLC04NPCFSierraPetrovita,Jan Johns,04013A41,sierra
DLC04NPCMGage,Mark Rolston,04009C8D,gage
DLC04NPCMMason,,0400F437,mason
DLC04NPCMShank,Sunil Malhotra,0400DBE1,shank
kgConq_VT_TheRon,Brian Frates,A6001F1D,maleboston
kgConq_VT_BlueShirt01_Patch415,Brandon Keener,A6002007,maleeventoned
kgConq_VT_RedShirt01_Patch408,Brandon Keener,A60046C0,maleeventoned
kgConq_VT_RedShirt02_Patch408,Brandon Keener,A60046C1,maleeventoned
kgConq_VT_RedShirt03_Patch408,Brandon Keener,A60046C2,maleeventoned
kgConq_VT_Leech,Joey Honsa,A60046D6,femalerough
kgConq_VT_WillieOneEye,Keith Szarabajka,A60055D6,maleghoul
kgConq_VT_Redshirt01_Patch406,Brandon Keener,A60055D7,maleeventoned
kgConq_VT_Redshirt02_Patch406,Brandon Keener,A60055D8,maleeventoned
kgConq_VT_Redshirt03_Patch406,Brandon Keener,A60055DF,maleeventoned
kgConq_VT_TheCook,Veronica Cartwright,A600673E,femaleold
kgConq_VT_RedShirt_Patch402,Brandon Keener,A60070ED,maleeventoned
kgConq_VT_BlueShirt02_Patch403,Brandon Keener,A60071E1,maleeventoned
kgConq_VT_BlueShirt01_Patch408,Brandon Keener,A6008140,maleeventoned
kgConq_VT_BlueShirt02_Patch408,Brandon Keener,A6008141,maleeventoned
kgConq_VT_ToiletKing,Keith Szarabajka,A60083FD,maleghoul
kgConq_VT_Rook,Keith Szarabajka,A60083FE,maleghoul
kgConq_VT_Skeezits,Keith Szarabajka,A60083FF,maleghoul
kgConq_BeebscalicorNPC1_NotImplementedYet,Brandon Keener,A6009219,maleeventoned
kgConq_ColonelBoofus_NotImplementedYet,Brandon Keener,A600921A,maleeventoned
kgConq_Beebscalicor_Boston,Brandon Keener,A600921B,maleeventoned
kgConq_ColonelBoofus_Southern,Brandon Keener,A600921C,maleeventoned
kgConq_CompleteCircuit_Ghoul,Brandon Keener,A600921D,maleeventoned
kgConq_GabrielWayne_Ghoul,Brandon Keener,A600921E,maleeventoned
kgConq_Khobis_Eastern,Brandon Keener,A600921F,maleeventoned
kgConq_KrazyKatie_Southern,Brandon Keener,A6009220,maleeventoned
kgConq_OktoberNight_WesternBitchy,Brandon Keener,A6009221,maleeventoned
kgConq_PanZ7_Ghoul,Brandon Keener,A6009222,maleeventoned
kgConq_RomBark_Southern,Brandon Keener,A6009223,maleeventoned
kgConq_SammyStitches_NewEngland,Brandon Keener,A6009224,maleeventoned
kgConq_Sirick_Ghoul,Brandon Keener,A6009225,maleeventoned
kgConq_SkwishFace_Ghoul,Brandon Keener,A6009226,maleeventoned
kgConq_SpaceFiddle_Eastern,Brandon Keener,A6009227,maleeventoned
kgConq_Lakemonsta_Southern,Brandon Keener,A6009228,maleeventoned
kgConq_LeftOffTheArk_Boston_NotImplementedYet,Brandon Keener,A6009229,maleeventoned
kgConq_NeverNotNinja_Generic_NotImplementedYet,Brandon Keener,A600922A,maleeventoned
kgConq_VT_Pandora,Misty Lee,A6009A25,femaleeventoned
kgConq_VT_Jammer,Brian Frates,A6009CCD,maleboston
kgConq_VT_Ophelia,Joey Honsa,A600A2E6,femalerough
kgConq_VT_Brutus,Brian Frates,A600A2E7,maleboston
kgConq_VT_Sarah,Misty Lee,A600A2E8,femaleeventoned
kgConq_VT_Torque,Brandon Keener,A600A2E9,maleeventoned
kgConq_VT_Jason,Brandon Keener,A600A2EA,maleeventoned
kgConq_VT_Patch405MinutemanScout,Brandon Keener,A600A6E6,maleeventoned
kgConq_VT_BlueShirt01_Patch403,Brandon Keener,A600AA9B,maleeventoned
kgConq_VT_BlueShirt01_Patch416,Brandon Keener,A600ABB4,maleeventoned
kgConq_VT_MMRedshirt01_Patch416,Brandon Keener,A600ABB5,maleeventoned
kgConq_VT_MMRedshirt04Shelby_Patch416,Brandon Keener,A600ABB6,maleeventoned
kgConq_VT_MMRedshirtsMisc_Patch416,Brandon Keener,A600ABB7,maleeventoned
kgConq_VT_MMRedshirt04Shelby_Patch416,Brandon Keener,A600ABB8,maleeventoned
kgConq_VT_MMRedshirtsMisc_Patch416,Brandon Keener,A600ABB9,maleeventoned
kgConq_VT_MMScout01_Patch416,Brandon Keener,A600ABBA,maleeventoned
kgConq_VT_MMPerimeter01_Patch416,Brandon Keener,A600ABBB,maleeventoned
kgConq_VT_Aiden,Brandon Keener,A600AF63,maleeventoned
kgConq_VT_RedShirt01_UnwelcomeVisitors,Brandon Keener,A600AF65,maleeventoned
kgConq_VT_RedShirtMM01_UnwelcomeVisitors,Brandon Keener,A600AF7F,maleeventoned
kgConq_VT_BlueShirtMM01_UnwelcomeVisitors,Brandon Keener,A600AF8D,maleeventoned
kgConq_VT_Maul,Brian Frates,A600B7AB,maleboston
kgConq_VT_RedShirt_Patch403,Brandon Keener,A600D379,maleeventoned
kgConq_VT_BlueShirtSlave01_Patch403,Brandon Keener,A600D37A,maleeventoned
kgConq_VT_Raider_M01_MisterNKB,Matthew Yang King,A600DE12,maleraider01
kgConq_VT_Raider_M02_Reduxist,Matthew Yang King,A600DE13,maleraider01
kgConq_VT_Raider_F01_LaurenJoy,Matthew Yang King,A600DE14,maleraider01
kgConq_VT_MsNanny,Stephen Russell,A600E89B,robot_mrhandy
kgConq_VT_Raider_F02_BlytheRenay,Matthew Yang King,A600F66A,maleraider01
kgConq_VT_Raider_F03_EmalineTuck,Matthew Yang King,A600F66B,maleraider01
kgConq_VT_Raider_M03_JeffWong,Matthew Yang King,A600F66C,maleraider01
kgConq_VT_CustomRaiderFemale01_UNUSED,Matthew Yang King,A600FE2E,maleraider01
kgConq_VT_CustomRaiderMale01_UNUSED,Matthew Yang King,A600FE2F,maleraider01
kgConq_VT_RedShirt01_Patch416,Brandon Keener,A6017274,maleeventoned
kgConq_VT_BlueShirt02_Patch416,Brandon Keener,A6017275,maleeventoned
kgConq_VT_AckAck,Joey Honsa,A601B037,femalerough
kgConq_VT_Dakka,Misty Lee,A602A3E1,femaleeventoned
kgConq_VT_Bellows,Brandon Keener,A602A3E2,maleeventoned
kgConq_VT_Bedlam,Joey Honsa,A602A3E3,femalerough
kgConq_VT_RedShirt01_Patch411,Brandon Keener,A602A3E4,maleeventoned
kgConq_VT_RedShirtCultist01_Patch412,Brandon Keener,A602BBFE,maleeventoned
kgConq_VT_BlueShirtCultist01_Patch412,Brandon Keener,A6031943,maleeventoned
kgConq_VT_BlueShirtForged01_Patch412,Brandon Keener,A6031944,maleeventoned
kgConq_VT_BlueShirtForged01_Patch412,Brandon Keener,A6031945,maleeventoned
kgConq_VT_RedShirt01_Patch412,Brandon Keener,A6031946,maleeventoned
kgConq_VT_Hugo,Brandon Keener,A603404B,maleeventoned
kgConq_VT_Louis,Brandon Keener,A603404C,maleeventoned
kgConq_VT_Dewis,Brandon Keener,A603404D,maleeventoned
kgConq_VT_McCloud,Brian Frates,A603404E,maleboston
kgConq_VT_Raider_F04_MelissaSheldon,Matthew Yang King,A6042D66,maleraider01
